Energy [MeV],Total Flux [cm⁻²·s⁻¹·MeV⁻¹]
0.05,18303154539.252445
0.07997997997997998,42896984905.46724
0.10995995995995997,73875272611.99324
0.13993993993993994,108314563806.62126
0.16991991991991992,143511085377.49786
0.19989989989989992,176882478417.01132
0.2298798798798799,205958485207.884
0.2598598598598599,228364424399.44186
0.28983983983983985,241614331776.51926
0.31981981981981983,242917319515.9356
0.3497997997997998,228533128727.59732
0.3797797797797798,191751351551.99112
0.40975975975975976,111199572431.53824
0.43973973973973973,365589582.79471034
0.4697197197197197,397455356.59228504
0.4996996996996997,428029588.2537481
0.5296796796796797,456991173.76422215
0.5596596596596597,484079299.1242864
0.5896396396396397,509024771.5774886
0.6196196196196196,531600629.8824088
0.6495995995995997,551586879.5932187
0.6795795795795796,568778905.9786886
0.7095595595595596,582984044.1222142
0.7395395395395395,594037304.8892788
0.7695195195195196,601830891.9418006
0.7994994994994995,606198339.8914313
0.8294794794794795,607025815.2094744
0.8594594594594595,604230545.8451688
0.8894394394394395,597695634.1356244
0.9194194194194194,587319867.8046286
0.9493993993993994,573025208.3211938
0.9793793793793794,554668269.0779873
1.0093593593593593,532163521.16119415
1.0393393393393393,505089378.1088214
1.0693193193193193,473263072.5809986
1.0992992992992994,435879226.16431963
1.1292792792792794,391484395.058518
1.1592592592592592,336294665.1694885
1.1892392392392392,256560615.7136217
1.2192192192192193,216518320.0448555
1.2491991991991993,211593338.9808752
1.2791791791791791,205864503.9770252
1.3091591591591591,199335532.55384156
1.3391391391391392,192014235.1461472
1.3691191191191192,183903938.56836367
1.399099099099099,175033274.3678654
1.429079079079079,165364176.36279085
1.459059059059059,154928696.1415048
1.4890390390390391,143740766.9262974
1.5190190190190191,131748697.5461005
1.548998998998999,118932157.08531255
1.578978978978979,105210777.17013688
1.608958958958959,90442010.78737544
1.638938938938939,74340654.31618465
1.6689189189189189,56278370.578431845
1.698898898898899,34804058.49827193
1.728878878878879,3322617.6575274114
1.758858858858859,166970.1202045876
1.7888388388388388,171467.26468197608
1.8188188188188188,175988.47924775837
1.8487987987987988,180541.95029480543
1.8787787787787789,185110.73417076655
1.9087587587587587,189695.55245581412
1.9387387387387387,194308.79045505077
1.9687187187187187,198937.06728123868
1.9986986986986988,203571.52925044193
2.028678678678679,208237.87673771646
2.0586586586586586,212914.6278228015
2.0886386386386384,217598.6835455029
2.118618618618618,222298.8237618043
2.1485985985985985,227014.24231363274
2.1785785785785783,231733.54286950774
2.2085585585585585,236460.36789802567
2.2385385385385383,241203.13491945414
2.268518518518518,245948.50244602043
2.2984984984984984,250693.38533410005
2.328478478478478,255453.52761910847
2.358458458458458,260214.0186962281
2.3884384384384383,264970.9074744106
2.418418418418418,269736.901401018
2.4483983983983983,274505.4403950759
2.478378378378378,279267.589453709
2.508358358358358,284030.8719872638
2.538338338338338,288797.8975619023
2.568318318318318,293554.6220063893
2.5982982982982983,298306.78246096364
2.628278278278278,303062.596068494
2.658258258258258,307808.68657261506
2.688238238238238,312542.0111625668
2.718218218218218,317278.00822334626
2.7481981981981978,322002.80850603787
2.778178178178178,326710.5575305518
2.808158158158158,331418.8423814027
2.838138138138138,336117.54357331805
2.868118118118118,340795.0742071859
2.8980980980980977,345466.30354511953
2.928078078078078,350129.1367342661
2.9580580580580578,354774.3989552105
2.988038038038038,359399.0796484144
3.018018018018018,364019.3421981982
3.0479979979979976,368617.0361819894
3.077977977977978,373192.37531995826
3.1079579579579577,377759.2401339211
3.1379379379379375,382306.2785761079
3.1679179179179178,386826.01187613135
3.1978978978978976,391332.292013801
3.227877877877878,395819.70493693696
3.2578578578578576,400281.25900947757
3.2878378378378375,404719.3500361324
3.3178178178178177,409141.8311014419
3.3477977977977975,413533.78336740995
3.3777777777777773,417899.74464775407
3.4077577577577576,422249.6354718248
3.4377377377377374,426573.11923353135
3.4677177177177176,430863.1891784551
3.4976976976976974,435134.9166293102
3.5276776776776773,439377.4987159137
3.5576576576576575,443586.9059628138
3.5876376376376373,447772.7357261516
3.6176176176176176,451933.4166278193
3.6475975975975974,456056.05825979164
3.677577577577577,460151.9406369773
3.7075575575575574,464222.88954333053
3.7375375375375373,468259.85646770167
3.767517517517517,472256.81305041205
3.7974974974974973,476237.61230179115
3.827477477477477,480179.21385547245
3.8574574574574574,484081.17462662666
3.887437437437437,487960.0539624305
3.917417417417417,491805.1489300364
3.9473973973973973,495606.13311903394
3.977377377377377,499378.61379651993
